type;model;subcategory;clinicalSymptoms;duration;severityScore;comment1;comment2;comment3
Tumor models;Intraperitoneal tumor model;Tumor model not necessitating ascites formation and animals are killed at first appearance of ascites;;;Moderate;Presence of ascites is considered as a humane endpoint.;;
Tumor models;Intraperitoneal tumor model;Tumor model requiring ascites formation and/or ascitic drainage ;;;Severe;Max. 5 ascitic drainages are allowed.;;
Tumor models;Metastatic models (e.g. i.v. injected tumor models);Tumor models requiring surgical removal of s.c. primary tumor for development of local metastasis;No or mild clinical symptoms;;Moderate;Animals are killed at first appearance of severe clinical symptoms.;;
Tumor models;Metastatic models (e.g. i.v. injected tumor models);Tumor models requiring surgical removal of s.c. primary tumor for development of local metastasis;Severe clinical symptoms;;Severe;No comments;;
Tumor models;Metastatic models (e.g. i.v. injected tumor models);Widespread metastatic tumor model;No clinical symptoms;;Mild;No comments;;
Tumor models;Metastatic models (e.g. i.v. injected tumor models);Widespread metastatic tumor model;Mild clinical symptoms;;Moderate;Animals are killed at first appearance of severe clinical symptoms.;;
Tumor models;Metastatic models (e.g. i.v. injected tumor models);Widespread metastatic tumor model;Severe clinical symptoms (e.g. cachexia);;Severe;No comments;;
Tumor models;Multiple myeloma (MM) tumor models;Multiple myeloma (MM) tumor models;Animals killed without clinical symptoms (paresis, paralysis)​;;Mild ;No comments;;
Tumor models;Multiple myeloma (MM) tumor models;Multiple myeloma (MM) tumor models;Animals killed at first appearance of clinical symptoms (paresis, paralysis)​;;Moderate;Animals are killed at first appearance of severe Clinical symptoms such as paresis or paralysis.;;
Tumor models;Orthotopic tumor models;Lung tumor model (via minimally-invasive inoculation);No clinical symptoms;;Mild;No comments;;
Tumor models;Orthotopic tumor models;Lung tumor model (via minimally-invasive inoculation);Mild respiratory symptoms;;Moderate;Animals are killed at first appearance of severe respiratory symptoms (e.g. dyspnea, cyanosis).;;
Tumor models;Orthotopic tumor models;Oral tumor models (e.g. tongue tumors);No clinical symptoms;;Mild;No comments;;
Tumor models;Orthotopic tumor models;Oral tumor models (e.g. tongue tumors);Mild impairement for eating/drinking;;Moderate;Animals are killed at first appearance of severe impairement for eating/drinking .;;
Tumor models;Orthotopic tumor models requiring surgical implantation (e.g. brain, liver, pancreas, colon tumors);Orthotopic tumor models requiring surgical implantation (e.g. brain, liver, pancreas, colon tumors);;;Moderate;-Animals are killed at first appearance of clinical symptoms caused by the tumor model (e.g. headtilt, seizures, circling, diarrhea, bloody stool, constipation, tachypnea, limping, paresis, paralysis, icterus...;;
Tumor models;Subcutaneous and mammary fat pad tumor models (<2cm3);Multiple tumors without ulceration causing no clinical symptoms;;;Mild;in case of multiple tumors, max combined tumor volume should be <2cm3;;
Tumor models;Subcutaneous and mammary fat pad tumor models (<2cm3);Single tumor without ulceration causing no clinical symptoms;;;Mild;Maximal tumor volume has been adapted to 2000 mm3 instead of 1500 mm3 previously ;;
Tumor models;Subcutaneous and mammary fat pad tumor models (<2cm3);Ulcurated tumor with < 10% of tumor volume ulcerated ;;;Moderate;No comments;;
